,airline,aircraft,in_service,pass_count
0,9E,Bombardier CRJ-200,42,50.0
1,9E,Bombardier CRJ-700,14,69.0
2,9E,Bombardier CRJ-900,3,70.0
3,9E,Bombardier CRJ-900,116,76.0
4,AA,Airbus A319-100,133,128
5,AA,Airbus A320-200,48,150
6,AA,Airbus A321-200,219,102
7,AA,Airbus A321-200,219,190
8,AA,Airbus A321-200,219,187
9,AA,Airbus A321-200,219,181
10,AA,Airbus A321neo,17,196
12,AA,Airbus A330-200,15,247
13,AA,Airbus A330-300,9,291
14,AA,Boeing 737-800,304,160
15,AA,Boeing 737-800,304,172
16,AA,Boeing 737 MAX 8,24,172
17,AA,Boeing 757-200,31,176
18,AA,Boeing 757-200,31,188
19,AA,Boeing 767-300ER,2,209
20,AA,Boeing 777-200ER,47,273
21,AA,Boeing 777-300ER,20,304
22,AA,Boeing 787-8,21,239
23,AA,Boeing 787-9,22,285
24,AA,Embraer 190,20,99
25,AS,Airbus A319-100,10,119
26,AS,Airbus A320-200,37,150
27,AS,Airbus A320-200,14,149
29,AS,Airbus A321neo,10,190
30,AS,Boeing 737-700,11,124
31,AS,Boeing 737-800,61,159
32,AS,Boeing 737-900,12,178
33,AS,Boeing 737-900ER,79,178
42,B6,Airbus A320-200,77,150
43,B6,Airbus A320-200,53,162
44,B6,Airbus A321-200,31,200
45,B6,Airbus A321-200,34,159
46,B6,Airbus A321neo,9,200
49,B6,Embraer 190,60,100
50,DL,Airbus A220-100,31,109.0
52,DL,Airbus A319-100,57,132.0
53,DL,Airbus A320-200,62,157.0
54,DL,Airbus A321-200,100,191.0
56,DL,Airbus A330-200,11,234.0
57,DL,Airbus A330-300,31,293.0
58,DL,Airbus A330-900neo,5,281.0
59,DL,Airbus A350-900,13,306.0
60,DL,Boeing 717-200,91,110.0
61,DL,Boeing 737-700,10,124.0
62,DL,Boeing 737-800,77,160.0
63,DL,Boeing 737-900ER,130,180.0
64,DL,Boeing 757-200,100,168.0
65,DL,Boeing 757-200,100,193.0
66,DL,Boeing 757-200,100,199.0
67,DL,Boeing 757-200,11,72.0
68,DL,Boeing 757-300,16,234.0
69,DL,Boeing 767-300ER,56,226.0
70,DL,Boeing 767-300ER,56,226.0
71,DL,Boeing 767-300ER,56,208.0
72,DL,Boeing 767-300ER,56,211.0
73,DL,Boeing 767-400ER,21,238.0
74,DL,Boeing 777-200ER,8,288.0
75,DL,Boeing 777-200LR,10,288.0
76,DL,McDonnell Douglas MD-88,26,149.0
77,DL,McDonnell Douglas MD-90-30,10,158.0
78,EV,Embraer ERJ-145LR,68,50.0
79,EV,Embraer ERJ-145XR,27,50.0
80,EV,Embraer E175,23,70.0
81,F9,Airbus A320-200,20,180
82,F9,Airbus A320neo,54,186
83,F9,Airbus A321-200,21,230
86,MQ,Embraer ERJ-140,45,44.0
87,MQ,Embraer ERJ-145,58,50.0
88,MQ,Embraer E175,70,76.0
89,NK,Airbus A319-100,31,145
91,NK,Airbus A320-200,64,182
92,NK,Airbus A320neo,28,182
93,NK,Airbus A321-200,30,228
95,OH,Bombardier CRJ-200,25,50.0
96,OH,Bombardier CRJ-700,61,65.0
97,OH,Bombardier CRJ-900,67,76.0
98,OO,Bombardier CRJ-100,3,50
99,OO,Bombardier CRJ-100,1,50
100,OO,Bombardier CRJ-100,1,50
101,OO,Bombardier CRJ-200,83,50
102,OO,Bombardier CRJ-200,12,50
103,OO,Bombardier CRJ-200,102,50
106,OO,Bombardier CRJ-700,58,65
107,OO,Bombardier CRJ-700,5,65
108,OO,Bombardier CRJ-700,8,69
109,OO,Bombardier CRJ-700,9,70
110,OO,Bombardier CRJ-700,1,70
111,OO,Bombardier CRJ-700,19,70
112,OO,Bombardier CRJ-900,12,70
113,OO,Embraer E175,35,70
114,OO,Embraer E175,2,70
117,OO,Bombardier CRJ-900,31,76
118,OO,Embraer E175,32,76
120,OO,Embraer E175,25,76
121,OO,Embraer E175,65,76
124,UA,Airbus A319-100,83,126
125,UA,Airbus A319-100,83,128
126,UA,Airbus A320-200,98,150
129,UA,Boeing 737-700,42,126
130,UA,Boeing 737-700,42,126
131,UA,Boeing 737-800,141,166
132,UA,Boeing 737-800,141,166
133,UA,Boeing 737-800,141,166
134,UA,Boeing 737-900,12,179
135,UA,Boeing 737-900ER,136,179
136,UA,Boeing 737-900ER,136,179
137,UA,Boeing 737 MAX 9,14,179
139,UA,Boeing 757-200,51,169
140,UA,Boeing 757-200,51,176
141,UA,Boeing 757-200,51,142
142,UA,Boeing 757-300,21,234
143,UA,Boeing 767-300ER,38,214
144,UA,Boeing 767-300ER,38,214
145,UA,Boeing 767-300ER,38,167
146,UA,Boeing 767-400ER,16,240
147,UA,Boeing 777-200,19,364
148,UA,Boeing 777-200ER,55,362
149,UA,Boeing 777-200ER,55,269
150,UA,Boeing 777-200ER,55,267
151,UA,Boeing 777-200ER,55,276
152,UA,Boeing 777-300ER,22,350
153,UA,Boeing 787-8,12,243
154,UA,Boeing 787-8,12,219
155,UA,Boeing 787-9,28,257
156,UA,Boeing 787-9,28,252
157,UA,Boeing 787-10,13,318
158,US,Airbus A319-100,93,124.0
159,US,Airbus A320-200,56,150.0
160,US,Airbus A321-200,114,187.0
161,US,Airbus A330-200,15,258.0
162,US,Airbus A330-300,9,291.0
164,US,Boeing 757-200,24,190.0
165,US,Boeing 757-200,24,176.0
166,US,Embraer 190,20,99.0
167,VX,Airbus A319-100,10,119
168,VX,Airbus A320-200,53,149
169,VX,Airbus A320-200,53,146
171,VX,Airbus A321neo,4,185
172,YV,Bombardier CRJ100,1,50.0
173,YV,Bombardier CRJ700,20,70.0
174,YV,Bombardier CRJ900,64,79.0
175,YV,Bombardier CRJ900,64,76.0
176,YV,Bombardier CRJ900,64,79.0
177,YV,Embraer 175,60,76.0
179,YX,Embraer E170,22,69.0
180,YX,Embraer E170,37,70.0
182,YX,Embraer E175,85,76.0
183,YX,Embraer E175,37,76.0
184,YX,Embraer E175,28,76.0
